流水號,國字,審定音,詞語例或說明,備注
1,丁,ㄉ丨ㄥ,目不識丁、壯丁,
2,三,ㄙㄢ,舉一反三、說三道四,ㄙㄢˋ併讀為ㄙㄢ。
3,上,1.ㄕㄤˇ\n2.ㄕㄤˋ,1.平上去入、上聲\n2.上樓、上下,
4,万,1.ㄇㄛˋ\n2.ㄨㄢˋ,1.万俟（ㄇㄛˋ ㄑ丨ˊ，複姓\n）\n2.古「萬」字。,
5,不,1.ㄅㄨˋ\n2.ㄈㄡ\n3.ㄈㄨ,1.百折不撓、不妨、不倒翁\n2.姓（如晉朝有不準）。\n3.「棠棣之華，鄂不韡韡。」\n（《詩經》）,
6,且,ㄑ丨ㄝˇ,並且、苟且、暫且,
7,並,ㄅ丨ㄥˋ,並列、恩威並重,
8,中,1.ㄓㄨㄥ\n2.ㄓㄨㄥˋ,1.中途、中立、中學、中央、\n適中\n2.中的、中毒、中聽、中看不\n中用、中肯、中意,
9,乎,ㄏㄨ,在乎、似乎,ㄏㄨˊ併讀為ㄏㄨ。
10,乘,1.ㄔㄥˊ\n2.ㄕㄥˋ,1.乘法、乘車\n2.大乘、史乘、萬乘之國,
11,九,ㄐ丨ㄡˇ,九牛二虎之力、九霄雲外,
12,乞,ㄑ丨ˇ,乞求、搖尾乞憐,
13,乾,1.ㄍㄢ\n2.ㄑ丨ㄢˊ,1.餅乾、乾杯、乾淨、乾脆\n2.乾卦（《易經》卦名）、乾\n坤、乾乾；姓（如唐代有乾\n彥思）。,
14,了,1.˙ㄌㄜ\n2.ㄌ丨ㄠˇ,1.「這就難怪了！」、「做完\n了！」\n2.了不起、了結、了解、受不\n了,
15,予,1.ㄩˊ\n2.ㄩˇ,1.予取予求\n2.給予、准予,
16,事,ㄕˋ,辦事、多事之秋、年事已高、\n事奉,
17,于,ㄩˊ,鳳凰于飛、于歸,
18,亙,ㄍㄣˋ,綿亙、亙古,ㄍㄥˋ併讀為ㄍㄣˋ。
19,些,1.ㄒ丨ㄝ\n2.ㄙㄨㄛˋ\n3.ㄙㄨㄛ（限讀）,1.那些、些微\n2.「魂兮歸來，反故居些。」\n（《楚辭》）\n3.麼些（ㄇㄛˊ ㄙㄨㄛ，民\n族名）,
20,亞,丨ㄚˋ,歐亞大陸、亞軍,丨ㄚˇ併讀為丨ㄚˋ。
21,亟,1.ㄐ丨ˊ\n2.ㄑ丨ˋ,1.亟需、需才孔亟\n2.「好從事而亟失時。」（《\n論語》）,
22,亡,ㄨㄤˊ,流亡、傷亡、亡羊補牢,
23,亢,1.ㄍㄤ\n2.ㄎㄤˋ,1.「乃仰絕亢而死。」（《漢\n書》）\n2.不卑不亢、高亢、「亢龍有\n悔。」（《易經》）,
24,亨,ㄏㄥ,大亨、亨通,
25,京,ㄐ丨ㄥ,京都；數目字（古代以十億為\n兆，十兆為京）。,
26,亮,ㄌ丨ㄤˋ,明亮、亮節、亮相、宏亮,
27,什,1.ㄕˊ,1.什百、什面、什錦；姓（如\n後魏有什翼犍）。,ㄕㄜˊ併讀為ㄕㄣˊ。
,,2.ㄕㄣˊ（限讀）,2.什麼（˙ㄇㄜ）,
28,仆,1.ㄆㄨ\n2.ㄆㄨˊ,1.屢仆屢起、前仆後繼\n2.「僕」之異體字。,ㄈㄨˋ併讀為ㄆㄨ。
29,仇,1.ㄑ丨ㄡˊ\n2.ㄔㄡˊ,1.姓（如明代有仇英）。\n2.仇敵、仇視、深仇大恨,
30,介,ㄐ丨ㄝˋ,介紹、介意、一介書生,
31,仔,1.ㄗˇ\n2.ㄗㄞˇ,1.擔仔麵、歌仔戲、仔細、菜\n仔\n2.打仔、牛仔、公仔、豬仔,1.「歌仔戲」、「擔仔麵」之「\n仔」，閩南音á，國語定音為\nㄗˇ，構成「歌仔戲」、「擔\n仔麵」時，一般口語變讀為輕\n聲。\n2.ㄗㄞˇ音源於粵語音，指幼小\n動物或青年男子。
32,他,ㄊㄚ,他日、其他、「他是我父親。\n」、「唱他幾句。」,ㄊㄨㄛ併讀為ㄊㄚ。
33,令,ㄌ丨ㄥˋ,命令、令尊、節令,
34,伐,ㄈㄚ,步伐、伐木、伐善、討伐,ㄈㄚˊ併讀為ㄈㄚ。
35,休,ㄒ丨ㄡ,休戚與共、休息、休想,
36,任,1.ㄖㄣˊ\n2.ㄖㄣˋ,1.姓（如南朝梁時有任昉）。\n2.第三任、聽任、任用、責任,
37,份,ㄈㄣˋ,備份、股份、一份工作,
38,佗,1.ㄊㄨㄛˊ\n2.ㄊㄚ,1.華佗再世\n2.「它」、「他」之異體字。,ㄊㄨㄛ併讀為ㄊㄚ。
39,佛,1.ㄅ丨ˋ\n2.ㄈㄛˊ,1.姓（如春秋時有佛肸）。\n2.佛教,
40,估,1.ㄍㄨ\n2.ㄍㄨˋ,1.估計、估價、估算\n2.估衣鋪,ㄍㄨˇ併讀為ㄍㄨ。
41,伽,1.ㄐ丨ㄚ\n2.ㄑ丨ㄝˊ,1.伽瑪射線、伽利略（人名）\n、瑜伽\n2.楞伽經、伽藍、伽南香,
42,伺,1.ㄘˋ\n2.ㄙˋ,1.伺候\n2.窺伺、環伺,
43,佃,1.ㄉ丨ㄢˋ\n2.ㄊ丨ㄢˊ,1.佃農、佃租\n2.佃獵,
44,佔,ㄓㄢˋ,鳩佔鵲巢、佔領,
45,作,1.ㄗㄨㄛˊ\n2.ㄗㄨㄛˋ,1.作摩、作料\n2.打躬作揖、工作、自作自受\n、作坊、作文,ㄗㄨㄛ併讀為ㄗㄨㄛˋ。
46,伯,ㄅㄛˊ,伯母、伯仲、老伯,
47,余,1.ㄩˊ\n2.ㄒㄩˊ（限讀）,1.「余將老而為客。」（晉．\n陸機〈歎逝賦〉）；姓（如\n宋代有余靖）。\n2.余吾（地名）,
48,佚,丨ˋ,佚失、佚書、佚樂,
49,佁,丨ˇ,佁然,ㄞˇ併讀為丨ˇ。
50,使,ㄕˇ,大使、使命、使性子,ㄕˋ併讀為ㄕˇ。
51,供,1.ㄍㄨㄥ\n2.ㄍㄨㄥˋ,1.供給、口供\n2.供品、供奉,
52,來,ㄌㄞˊ,本來、不請自來、眉來眼去、\n慢慢來,
53,佰,ㄅㄞˇ,壹佰元；職官名（古代軍隊中\n掌管百人的指揮官）。,ㄅㄛˊ併讀為ㄅㄞˇ。
54,佻,ㄊ丨ㄠ,佻薄、輕佻,
55,信,ㄒ丨ㄣˋ,背信忘義、明信片、聽信,
56,便,1.ㄅ丨ㄢˋ\n2.ㄆ丨ㄢˊ,1.便利、便宜行事、方便\n2.便辟、大腹便便、價格便宜,「便宜」一詞：作方便合宜義時\n，音ㄅ丨ㄢˋ 丨ˊ；作物價低廉\n、利益、好處義時，音ㄆ丨ㄢˊ\n丨ˊ。
57,俠,ㄒ丨ㄚˊ,蝙蝠俠、俠義、武俠小說,
58,俟,1.ㄑ丨ˊ\n2.ㄙˋ,1.万俟（ㄇㄛˋ ㄑ丨ˊ，複姓\n）\n2.俟命；姓（見《萬姓統譜》\n）。,
59,俊,ㄐㄩㄣˋ,俊雅、才俊、英俊,
60,俞,ㄩˊ,俞允；姓（如清代有俞樾）。,
61,俛,1.ㄇ丨ㄢˇ\n2.ㄈㄨˇ,1.僶（ㄇ丨ㄣˇ）俛\n2.俛首、俛仰,ㄈㄨˇ音，通「俯」。
62,倥,1.ㄎㄨㄥ\n2.ㄎㄨㄥˇ,1.倥侗（童蒙無知貌）\n2.倥傯（同「悾憁」）,
63,倩,ㄑ丨ㄢˋ,巧笑倩兮、倩影,
64,倆,1.ㄌ丨ㄚˇ\n2.ㄌ丨ㄤˇ,1.哥兒倆\n2.伎倆,
65,值,ㄓˊ,價值、值勤、值日,
66,倒,1.ㄉㄠˇ\n2.ㄉㄠˋ,1.翻箱倒櫃、倒閉、倒塌、倒\n胃口、跌倒、顛倒\n2.倒不如、倒垃圾、倒轉、倒\n影,
